|id|texto|fecha
0|1522417825868046336|Un inxremento del 26% del precio de los alimentos, por destruir nuestra producción alimenticia e importar, por destruir nuestra producción de abonos e importarlos, significa un incremento sustancial del hambre en el país, dado que los ingresos no crecen en la misma proporción. https://t.co/GlzGATFU87|2022-05-06 03:27:49+00:00
1|1522416660522717184|Elkin Echavez militante campesino del Pacto Histórico ha sido asesinado en Sucre, Sucre. https://t.co/hmuKjzd7Fe|2022-05-06 03:23:11+00:00
2|1522375888758841344|"Alfonso Pulido, coordinador de mi campaña de testigos electorales, ha muerto.

Sufrió un ataque cardiaco y duró esperando 40 minutos la ambulancia. Murió en ella. https://t.co/rF3MK5Uw21"|2022-05-06 00:41:10+00:00
3|1522369713313136644|"Cúcuta deja de ser mayoría uribista. Planteamos la industrialización de la ciudad, la agroindustrialización del Catatumbo,la articulación por tren con el lago de Maracaibo y el mar.

La expansión de la universidad pública https://t.co/WiuQ7zkQg0"|2022-05-06 00:16:38+00:00
4|1522351847389990913|Cucuta Ahora. https://t.co/c9HLWh2PD7|2022-05-05 23:05:39+00:00
5|1522351782801948672|"En vivo desde Cúcuta 

https://t.co/XbEroESc7n"|2022-05-05 23:05:23+00:00
6|1522297207428370438|Los proyectos de inversión girarán sobre educación, salud, agua potable, distritos de riego y energías limpias.|2022-05-05 19:28:31+00:00
7|1522297204978991106|El derecho de prioridad permitirá a cada municipio lograr la financiación de un proyecto hasta por 5.000 millones cada año. El presidente quedará obligado a presentar los proyectos en la ley del presupuesto nacional.|2022-05-05 19:28:31+00:00
8|1522297202760032256|"Se deshace la compra de alcaldes y gobernadores.

Duque fué un abusivo al acabar la ley de garantías. La Corte Constitucional la reestablece.

Me propongo implementar el derecho de prioridad para los municipios en el presupuesto nacional. https://t.co/VIIKnebfXq"|2022-05-05 19:28:30+00:00
9|1522216464463196161|Espero tu retablecimiento. Sufrir el covid es duro y hoy merece la pena un análisis profundo desde la economía y desde el balance en que queda la humanidad. Sabrás hacerlo como aporte a Colombia. https://t.co/EWMtm1jXlb|2022-05-05 14:07:41+00:00
10|1522215456345448449|"Hay un conservatisno que se alió con nosotros en la Asamblea Nacional Constituyente, expidió una Constitución moderna y democrática y lucho por derribar el régimen de corrupción.

Hay otro que se plegó a quienes querían refundar la Patria y derogar la constitución de 1991. https://t.co/xuuGkgECGJ"|2022-05-05 14:03:40+00:00
11|1522212496420925441|"No triunfa la justicia si se oculta la verdad. Verdad y Justicia son sinónimos.

Lo que vemos aquí es como secciones del Estado actúan para que no se conozca la verdad, es decir, para que no haya justicia en nuestra Patria. https://t.co/puri7uETH8"|2022-05-05 13:51:55+00:00
12|1522206471546621959|Las víctimas en Colombia tienen el derecho de conocer la verdad. Las diligencias de extradición deberían priorizar las confesiones que las víctimas ncesitan. No hay ningún interés que pueda estar por encima de las víctimas de la violencia en Colombia.|2022-05-05 13:27:58+00:00
13|1522202345655963652|"40 familias han gobernado a Colombia durante dos siglos.

https://t.co/yWc2eXAAhN"|2022-05-05 13:11:35+00:00
14|1522053327672037376|"Este 29 de mayo inicia una era de esperanza. Inviten a su familia y amigos a votar por el cambio.

https://t.co/ep8wIj2t0W"|2022-05-05 03:19:26+00:00
15|1521934094480855040|El frente Amplio del Uruguay expresa su solidaridad. https://t.co/av6OGBNZSm|2022-05-04 19:25:38+00:00
16|1521933424940011521|https://t.co/KHTV12wTqR|2022-05-04 19:22:59+00:00
17|1521886019158745088|"Le doy gracias a los más de mil artistas e intelectuales que declaran su apoyo a nuestra campaña.

Es hora del cambio.

6/6 https://t.co/Ye0SZnVRwp"|2022-05-04 16:14:36+00:00
18|1521886011604803588|"Le doy gracias a los más de mil artistas e intelectuales que declaran su apoyo a nuestra campaña.

Es hora del cambio.

5/6 https://t.co/ZD4Nus2Im4"|2022-05-04 16:14:35+00:00
19|1521886002033405953|"Le doy gracias a los más de mil artistas e intelectuales que declaran su apoyo a nuestra campaña.

Es hora del cambio. 

4/6 https://t.co/wCgoq3z1QU"|2022-05-04 16:14:32+00:00
20|1521885992537501699|"Le doy gracias a los más de mil artistas e intelectuales que declaran su apoyo a nuestra campaña.

Es hora del cambio.

3/6 https://t.co/HJ2zuXWT8v"|2022-05-04 16:14:30+00:00
21|1521885983549046787|"Le doy gracias a los más de mil artistas e intelectuales que declaran su apoyo a nuestra campaña.

Es hora del cambio.

2/6 https://t.co/f4WI5NFlmi"|2022-05-04 16:14:28+00:00
22|1521885973654683650|"Le doy gracias a los más de mil artistas e intelectuales que declaran su apoyo a nuestra campaña.

Es hora del cambio.

1/6 https://t.co/JT4HcBDMGR"|2022-05-04 16:14:26+00:00
23|1521860039492911107|Algunas bandas estudian un sometimiento colectivo a la justicia, lo sugiero, otras quieren permanecer con la falsa creencia que aliandose a politicos con favores electorales, y comprando policías, pueden sobrevivir.|2022-05-04 14:31:22+00:00
24|1521860038125662210|Las bandas armadas con controles territoriales urbanos son la herencia del paramilitarismo. Reclutan jovenes, incluso de clase media, a partir de hacerlos drogadictos. En Risaralda usan compuestos químicos y heroína.|2022-05-04 14:31:22+00:00
25|1521860036527628288|"En medio de la investigación sobre la banda la Cordillera nos apareció un empresario del uribismo que ayuda a coordinar una campaña electoral y es el dueño del ""gota a gota"" en Pereira.

Los candidatos deberían cuidar muy bien quienes coordinan sus campañas regionalmente."|2022-05-04 14:31:22+00:00
26|1521830688865103872|Rrbelión en el partido de la U, senadores y congresistas apoyarán campaña del cambio por la Vida en Colombia. https://t.co/8Dg8xirBrk|2022-05-04 12:34:45+00:00
27|1521829217880707073|Que los viejos no le quiten el país a los jóvenes. Son estos jóvenes los que le garantizarán pensión a los viejos. https://t.co/Vzk1pst7Wy|2022-05-04 12:28:54+00:00
28|1521827187292315650|Agradezco a Paloma Valencia, a pesar de nuestra distancia política , su posición solidaria. https://t.co/llEaMYF0LO|2022-05-04 12:20:50+00:00
29|1521641581878685700|"Fue entregada toda la información sobre vínculos de políticos con la banda La cordillera heredera de alias ""Macaco"". Las vinculaciones de la banda con algunos empresarios amigos de otra campaña y los datos del atentado.

Se comprometio el gobierno a elevar la seguridad."|2022-05-04 00:03:18+00:00
30|1521616318004445185|"Agradezco a las y los artistas que se suman a nuestra campaña. 

Sabemos que el cambio comienza con el arte y la cultura; este es el primer paso para transformar Colombia.

¡El cambio está cerca!

#SúmateAlCambio https://t.co/YC0m15txZu"|2022-05-03 22:22:55+00:00
31|1521584908933775360|"Fui por lana y salí trasquilado. Es lo bonito de las democracias vivas, respetar la opinión y la opción del cambio. 

Luchar por la verdad, la pluralidad y la libertad de prensa, es una bandera que lideraremos desde el gobierno del cambio por la vida.

#YaLlegaElCambio https://t.co/z2vehPt07k"|2022-05-03 20:18:06+00:00
32|1521561710691328001|El Senador @IvanAgudeloZ, referente en el Congreso en los temas de educación, ciencia y tecnología, se suma al Pacto Histórico para liderar la agenda de este importante sector.|2022-05-03 18:45:55+00:00
33|1521534062288113665|En una región conservadora y profundamente productiva como El Espinal, Tolima, nos encontramos con una enorme multitud donde expusimos nuestro programa agrario. https://t.co/j6n8dA8NMm|2022-05-03 16:56:03+00:00
34|1521519415476563969|"En el Caribe hemos iniciado la actividad del grupo jurídico de persecución contra los compradores de votos en la región

Usted puede entregarnos datos, videos, nombres de personas vinculadas a esa actividad delictiva en @migueldelrioabg https://t.co/OJcNxw3E8c"|2022-05-03 15:57:51+00:00
35|1521494496202084358|"Colombianos las y los invito a seguir recorriendo el camino por el cambio y el 29 de mayo, juntos tracemos el comienzo de una transformación histórica para nuestro país. 

Me llamo Gustavo Petro y voy a ser su presidente. #PetroPresidente #YaLlegaElCambio https://t.co/MJLYlYUveE"|2022-05-03 14:18:50+00:00
36|1521284145292496896|Lamentable que tenga que suspender la gira del eje cafetero. El paso de los sectores de la corrupción a pagar bandas de sicarios para mi eliminación física, muestra la desesperación política a la que han llegado. https://t.co/4dZMaD7Y9C|2022-05-03 00:22:58+00:00
