,id,tweet,id_autor,metrics,source,created_at,fecha,sentimiento,positividad,neutralidad,negatividad
0,1523861574120841216,@ficogutierrez ,1506372308197429251,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2022-05-10 03:04:45+00:00,2022-05-10,NEU,0.3415328562259674,0.6237945556640625,0.03467259183526039
1,1523861544735551494,@dianacarito1 @ficogutierrez perdónala !@ficogutierrez no sabe lo que hace  y menos lo que dice    #ficopresidente,214693080,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2022-05-10 03:04:38+00:00,2022-05-10,NEG,0.0007545137195847929,0.006030750460922718,0.9932147264480591
2,1523861527866097665,estimado @ficogutierrez tienes que cuidarte muchísimo amigo  ellos son capaces de hacer cualquier cosa por obtener el poder para destruir a las mayorías trabajadoras y pacíficas de colombia  !dios te bendiga¡ #ficouneacolombia #ficopresidente,121682433,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2022-05-10 03:04:34+00:00,2022-05-10,POS,0.4744846522808075,0.4653089940547943,0.060206349939107895
3,1523861506982621185,@ficogutierrez demasiadas ideas volátiles sin asidero! sin fundamento   ahí hablases de basura !!!eso es precisamente lo q no necesita el país ,118402048,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2022-05-10 03:04:29+00:00,2022-05-10,NEG,0.0005489278119057417,0.0006602664943784475,0.9987909197807312
4,1523861476917891073,@carhramirez @ficogutierrez ,1506372308197429251,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2022-05-10 03:04:22+00:00,2022-05-10,NEU,0.13677184283733368,0.7522822618484497,0.11094583570957184
5,1523861433309712385,@pactohmed @ficogutierrez @wilsonariasc @petrogustavo @estebanrestre @independien @jojare2 #petroesdemalambiente,187996195,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App,2022-05-10 03:04:12+00:00,2022-05-10,NEU,0.019354891031980515,0.8349831104278564,0.14566199481487274
6,1523861342603694081,@ficogutierrez ,1506372308197429251,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2022-05-10 03:03:50+00:00,2022-05-10,NEU,0.3415328562259674,0.6237945556640625,0.03467259183526039
7,1523861289507999744,@lafm seguro es el mismo matarife el q lo va a mandar a fregar!! tenga cuidado con quien se rodea @ficogutierrez traiciones van y traiciones vienen !!!,194806227,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2022-05-10 03:03:38+00:00,2022-05-10,NEG,0.0019001216860488057,0.005352036561816931,0.9927478432655334
8,1523861200613912578,@ficogutierrez el populismo es de todos los lados   la derecha también ofrece subsidios para congraciarse con el pueblo ,223134482,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2022-05-10 03:03:16+00:00,2022-05-10,NEG,0.006215429864823818,0.13941796123981476,0.8543666005134583
9,1523861196285358081,@yapaquehijuep_ @andresfernand @kauhabata @pinedaruizbog @ficogutierrez ¿qué es mentiras? cuando el ojo de sapo la presentó era hasta 640 ese hp es más tapao que culo de muñeca  ,2558931300,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2022-05-10 03:03:15+00:00,2022-05-10,NEG,0.00271422415971756,0.02743328921496868,0.9698524475097656
10,1523861179508142081,@juanitacatano @ficogutierrez esoo mujer valiente y berraca!!! tremenda foto con nuestro proximo presidente ,1256774271453593601,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2022-05-10 03:03:11+00:00,2022-05-10,POS,0.9798892140388489,0.016670431941747665,0.003440406871959567
11,1523861142908588032,@jokeraton @ficogutierrez #elcambioenprimera,859438044394532864,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App,2022-05-10 03:03:03+00:00,2022-05-10,NEU,0.018649926409125328,0.9544724225997925,0.026877734810113907
12,1523861123069624322,la conclusión del día es que @sergio_fajardo no está en campaña presidencial sino en campaña antifico  y por andar ocupado tratando de dañar a @ficogutierrez  la campaña de petro lo quemó y ni siquiera ha levantado la voz? un bobo es lo que es ,1070691086207762435,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2022-05-10 03:02:58+00:00,2022-05-10,NEG,0.0004694031085819006,0.0018134739948436618,0.9977171421051025
